area,perimeter,circularity,aspect_ratio,solidity,equivalent_diameter,extent,convex_area,rectangularity,compactness,eccentricity,hu_moment_1,hu_moment_2,label
566.5,91.35533833503723,0.8529860281236841,1.391304347826087,0.9758828596037898,26.85684646589152,0.7697010869565217,580.5,0.7697010869565217,14.732211548648054,0.7109079595631299,0.17080002994731008,0.0035888174906261302,arabika
571.0,91.74011468887329,0.852564833223913,1.0344827586206897,0.9777397260273972,26.963304323539017,0.6563218390804598,584.0,0.6563218390804598,14.739489742780428,0.6876416188685787,0.16865772803507775,0.002955551169469554,arabika
487.5,83.01219236850739,0.8889978618209559,0.8571428571428571,0.9808853118712274,24.913937425834398,0.7254464285714286,497.0,0.7254464285714286,14.135434014002206,0.5614639057282319,0.16208754309561596,0.0008454644091413401,arabika
485.0,82.42640602588654,0.8970545937221752,1.0,0.9827760891590679,24.849973424463737,0.7174556213017751,493.5,0.7174556213017751,14.008479196586194,0.5522943965435233,0.1620116522200885,0.0008425010916825337,arabika
484.5,83.35533845424652,0.87626770687761,1.2173913043478262,0.9758308157099698,24.837160856752256,0.7523291925465838,496.5,0.7523291925465838,14.34078936805364,0.5402345464747152,0.16262810318403043,0.0009344096511761609,arabika
486.0,83.25483286380768,0.8811041092765933,1.0384615384615385,0.9759036144578314,24.875578761936154,0.6923076923076923,498.0,0.6923076923076923,14.262072418066976,0.5252314897913193,0.16182348684777517,0.0007634269906567707,arabika
485.5,82.66904735565186,0.8927158223719209,0.9629629629629629,0.9827935222672065,24.862779389459288,0.6915954415954416,494.0,0.6915954415954416,14.076563111618968,0.5191309364580714,0.1622066413915002,0.0008728085669693405,arabika
485.5,82.5269113779068,0.8957935167341267,1.173913043478261,0.9857868020304569,24.862779389459288,0.7818035426731079,492.5,0.7818035426731079,14.028200003247957,0.5574651728584532,0.16222236178673888,0.0008331262108380584,arabika
490.0,83.25483334064484,0.8883559847736383,1.0384615384615385,0.98,24.977737626138797,0.698005698005698,500.0,0.698005698005698,14.145647499139892,0.5386735080880221,0.1617011815277291,0.0007429878860263163,arabika
737.0,110.42640602588654,0.7595064676144382,0.5476190476190477,0.9703752468729427,30.632948674096244,0.7629399585921325,759.5,0.7629399585921325,16.54544253432015,0.863945290416256,0.19837457132779424,0.01363983076223876,arabika
732.0,109.88225030899048,0.7618436557744421,0.9722222222222222,0.9747003994673769,30.52886088189566,0.580952380952381,751.0,0.580952380952381,16.494684334655243,0.8552857923360073,0.19789844900521136,0.013552034621689666,arabika
726.0,110.42640602588654,0.748170550187357,1.826086956521739,0.9641434262948207,30.403485153477522,0.7515527950310559,753.0,0.7515527950310559,16.796131057567422,0.8610311151246868,0.19853307016571486,0.013772153210504016,arabika
726.0,109.59797883033752,0.7595238127570926,0.5238095238095238,0.9718875502008032,30.403485153477522,0.7857142857142857,747.0,0.7857142857142857,16.54506468828528,0.8598208036439774,0.19929216455851398,0.01397862405971471,arabika
734.0,109.05382287502289,0.7755755959723895,0.8918918918918919,0.9754152823920266,30.570538527078803,0.6011466011466011,752.5,0.6011466011466011,16.20263798863333,0.8485528934939457,0.19539231737726326,0.012478936097873329,arabika
733.0,110.08326017856598,0.76010094547201,1.5769230769230769,0.9695767195767195,30.549706811864404,0.6876172607879925,756.0,0.6876172607879925,16.5325022804118,0.8684296653236576,0.19706018493944388,0.013181011247191645,arabika
624.5,95.84061932563782,0.8543642820939947,0.7352941176470589,0.97578125,28.198193128055372,0.7347058823529412,640.0,0.7347058823529412,14.708445656880418,0.7124989664562991,0.16958325177035766,0.003281595163864515,arabika
622.5,95.49747371673584,0.8577593364313508,1.1428571428571428,0.9780047132757266,28.15300368695388,0.6947544642857143,636.5,0.6947544642857143,14.650228893620325,0.7046902654146198,0.1692860625436113,0.0031928227220795837,arabika
620.0,96.0832599401474,0.8439293568917077,0.7142857142857143,0.975609756097561,28.096414677602564,0.7085714285714285,635.5,0.7085714285714285,14.890311033428926,0.7070702136431642,0.17010471970934624,0.0034748374109296416,arabika
615.5,96.32590067386627,0.8335885955219717,1.103448275862069,0.96852871754524,27.994266194785187,0.6632543103448276,635.5,0.6632543103448276,15.07502703595703,0.7164383978499429,0.17116105688615096,0.003809115705893436,arabika
618.0,96.08326029777527,0.8412069978654914,1.4,0.9732283464566929,28.05106127486678,0.7062857142857143,635.0,0.7062857142857143,14.938499853479025,0.713667686122269,0.17063363393553066,0.003656677014312699,arabika
639.0,96.76955199241638,0.8574982873591719,0.7058823529411765,0.9808135072908672,28.523675588636344,0.7830882352941176,651.5,0.7830882352941176,14.654688877641593,0.7502661253192998,0.172865022151176,0.00432824511709403,arabika
639.0,96.56854140758514,0.8610718243040286,1.0,0.9823212913143735,28.523675588636344,0.6649323621227887,650.5,0.6649323621227887,14.593870406241765,0.7298688892770836,0.17016945288626445,0.003522390448978054,arabika
646.0,98.56854152679443,0.8355370662771754,1.032258064516129,0.9743589743589743,28.679483013103898,0.6512096774193549,663.0,0.6512096774193549,15.039872103280802,0.7243290369979877,0.17122817225783277,0.0038677046257258743,arabika
636.5,97.35533821582794,0.8438956189621036,0.6571428571428571,0.9807395993836672,28.467823419150456,0.7906832298136646,649.0,0.7906832298136646,14.89090633011508,0.7075861554609167,0.17367416123876345,0.004581668941417097,arabika
643.5,97.98275530338287,0.8422851031102803,1.032258064516129,0.9742619227857684,28.623934862926816,0.6486895161290323,660.5,0.6486895161290323,14.919378922832331,0.7296968512642623,0.17183408579448484,0.004066470645301109,arabika
641.0,97.59797894954681,0.8456414158597735,1.36,0.9763899466869764,28.568278705151968,0.7541176470588236,656.5,0.7541176470588236,14.8601645788396,0.7486405766537044,0.17195658230574382,0.004087083929937553,arabika
652.5,97.35533833503723,0.8651090181056983,0.7058823529411765,0.9849056603773585,28.823407205597565,0.7996323529411765,662.5,0.7996323529411765,14.525765367554895,0.6887795340654005,0.17010167287469666,0.003403784450303408,arabika
648.0,97.39696931838989,0.8584084486836471,0.96875,0.9818181818181818,28.723844188903154,0.6532258064516129,660.0,0.6532258064516129,14.639150667295342,0.7176205323826522,0.16967822893780155,0.003283055363047818,arabika
651.0,97.59797894954681,0.8588339496485374,1.36,0.9774774774774775,28.79025779013781,0.7658823529411765,666.0,0.7658823529411765,14.631897841837455,0.7067912326272454,0.1701686165039204,0.0034291963884434356,arabika
648.0,96.76955211162567,0.8695757258837621,0.7058823529411765,0.9848024316109423,28.723844188903154,0.7941176470588235,658.0,0.7941176470588235,14.451151567723203,0.7164047435875903,0.17050162428367155,0.0035549807575269627,arabika
653.5,99.1543276309967,0.8352800487661802,1.1,0.9731943410275503,28.845485651734638,0.6601010101010101,671.5,0.6601010101010101,15.044499905057439,0.7116438604976678,0.16991659009169938,0.0033466872790486124,arabika
651.0,98.42640614509583,0.844437665981659,1.3076923076923077,0.9745508982035929,28.79025779013781,0.7364253393665159,668.0,0.7364253393665159,14.88134781357812,0.737721902021231,0.17032339741484362,0.0034272767349685642,arabika
714.0,102.76955187320709,0.8495308415632218,0.6486486486486487,0.9834710743801653,30.15116971098976,0.8040540540540541,726.0,0.8040540540540541,14.792129961092161,0.7607745778262408,0.1765286976547051,0.005568785448821836,arabika
714.5,103.63960909843445,0.8359120092044328,0.9705882352941176,0.9774281805745554,30.161724995650925,0.6368092691622104,731.0,0.6368092691622104,15.03312606588705,0.7771860909826404,0.17599399989186573,0.005435828902683991,arabika
711.0,103.05382370948792,0.841300687460338,0.9705882352941176,0.986130374479889,30.087760240780646,0.6336898395721925,721.0,0.6336898395721925,14.936836260402552,0.7402310611187252,0.17713029643383796,0.005814152660585524,arabika
714.0,104.2253954410553,0.8259637220769939,0.9142857142857143,0.9767441860465116,30.15116971098976,0.6375,731.0,0.6375,15.214191953563516,0.7721730531917741,0.17634121435383943,0.0055691310436476035,arabika
720.5,105.01219248771667,0.8210401538298976,1.52,0.9684139784946236,30.288101491867806,0.758421052631579,744.0,0.758421052631579,15.305427579565938,0.7630365299451983,0.17737705134443704,0.005826430951852451,arabika
719.5,103.98275518417358,0.8362151300428753,0.8857142857142857,0.9782460910944936,30.26707538625015,0.6631336405529954,735.5,0.6631336405529954,15.027676686159525,0.7564375135326756,0.17579729275815925,0.00537982068830531,arabika
729.5,102.18376517295837,0.8779531836227432,0.7428571428571429,0.9858108108108108,30.4766836759563,0.8016483516483517,740.0,0.8016483516483517,14.313258210996985,0.6706629704707289,0.16752228620906146,0.00247123527078941,arabika
738.5,102.81118249893188,0.877969956875315,1.0,0.9846666666666667,30.66410611426522,0.6781450872359963,750.0,0.6781450872359963,14.31298476212414,0.6642635123947207,0.16699277450845862,0.0023799618522301657,arabika
734.5,103.84061980247498,0.8559869049297438,1.3333333333333333,0.9747843397478434,30.580949063231785,0.7556584362139918,753.5,0.7556584362139918,14.680564085721114,0.6600572878997719,0.1672173991200763,0.0023862669871713544,arabika
733.5,103.01219272613525,0.8686257882677099,0.7222222222222222,0.9832439678284183,30.560124444498616,0.7836538461538461,746.0,0.7836538461538461,14.4669554877252,0.6555003610716358,0.16770490138353678,0.002593420181337443,arabika
737.0,102.56854140758514,0.8803370756313004,1.096774193548387,0.9846359385437542,30.632948674096244,0.6992409867172675,748.5,0.6992409867172675,14.27449889617301,0.6808441486374683,0.16690738558717416,0.002394679703625743,arabika
626.0,94.4264063835144,0.8822613891701394,0.7575757575757576,0.9819607843137255,28.2320377409108,0.7587878787878788,637.5,0.7587878787878788,14.24336457269107,0.6456316479712191,0.16553957855558607,0.001960574403082753,arabika
627.0,94.91168737411499,0.8746574825996585,0.9354838709677419,0.9789227166276346,28.254578293596012,0.6974416017797553,640.5,0.6974416017797553,14.367190430943761,0.6379661307611668,0.16504201501659313,0.0018015702228026443,arabika
636.0,96.42640602588654,0.8595576687068711,1.2692307692307692,0.973221117061974,28.456639830653998,0.7412587412587412,653.5,0.7412587412587412,14.619578268976614,0.661981311664132,0.16615986270642213,0.002120883447340158,arabika
633.0,95.74011445045471,0.8678120763405235,0.967741935483871,0.9760986892829607,28.38944578214513,0.6806451612903226,648.5,0.6806451612903226,14.480520560799633,0.6428999221395945,0.1653829684765989,0.0019045998309132985,arabika
550.0,87.94112503528595,0.8936933348280129,0.7666666666666667,0.9900990099009901,26.462837142006137,0.7971014492753623,555.5,0.7971014492753623,14.061166313585085,0.6574806988988318,0.1662941125302645,0.0020987422950825385,arabika
563.5,91.49747395515442,0.8458348516423425,1.0714285714285714,0.9723899913718723,26.785639500640343,0.6708333333333333,579.5,0.6708333333333333,14.856766175996736,0.6466572380493364,0.16531448543757155,0.0018472345941274071,arabika
566.5,91.01219248771667,0.85943022840705,1.24,0.9716981132075472,26.85684646589152,0.7309677419354839,583.0,0.7309677419354839,14.621746127839701,0.6435341073232981,0.16490831142735443,0.0016686515718833921,arabika
563.5,89.84061920642853,0.8773205683949878,0.9310344827586207,0.9817073170731707,26.785639500640343,0.7196679438058748,574.0,0.7196679438058748,14.323579164852696,0.6510518428533374,0.1653134077314541,0.001833022346564856,arabika
567.0,90.76955211162567,0.8647937414172379,0.7741935483870968,0.9775862068965517,26.86869594648831,0.7620967741935484,580.0,0.7620967741935484,14.53106100625243,0.6575295876825368,0.16588449257533416,0.0020070012666191257,arabika
562.5,89.49747359752655,0.8824921258220606,0.9,0.982532751091703,26.76186174229157,0.6944444444444444,572.5,0.6944444444444444,14.239640498382155,0.6698508893230753,0.16508799629325632,0.0017822579025819998,arabika
569.0,90.76955199241638,0.8678441625377264,1.2916666666666667,0.9776632302405498,26.916041702938184,0.7647849462365591,582.0,0.7647849462365591,14.479985182608052,0.6701934452578548,0.1658108021926263,0.0019926973911188832,arabika
